"Gene","FerrDb_Category","Source"
"A2M-AS1","Driver","FerrDb_V2_early_preview_20231231"
"AADAC","Suppressor","FerrDb_V2_early_preview_20231231"
"ABCB6","Suppressor","FerrDb_V2_early_preview_20231231"
"ABCC1","Driver;Marker","FerrDb_V2_early_preview_20231231"
"ABCC5","Suppressor","FerrDb_V2_early_preview_20231231"
"ABHD12","Suppressor","FerrDb_V2_early_preview_20231231"
"AC005332.7","Suppressor","FerrDb_V2_early_preview_20231231"
"ACACA","Marker","FerrDb_V2_early_preview_20231231"
"ACADM","Suppressor","FerrDb_V2_early_preview_20231231"
"ACADSB","Driver","FerrDb_V2_early_preview_20231231"
"ACAT2","Suppressor","FerrDb_V2_early_preview_20231231"
"ACO1","Driver;Marker","FerrDb_V2_early_preview_20231231"
"ACOT1","Suppressor","FerrDb_V2_early_preview_20231231"
"ACOT7","Suppressor","FerrDb_V2_early_preview_20231231"
"ACSF2","Driver;Marker;Unclassified","FerrDb_V2_early_preview_20231231"
"ACSL1","Driver;Suppressor","FerrDb_V2_early_preview_20231231"
"ACSL3","Driver;Marker;Suppressor","FerrDb_V2_early_preview_20231231"
"ACSL4","Driver;Marker","FerrDb_V2_early_preview_20231231"
"ACTL6A","Suppressor","FerrDb_V2_early_preview_20231231"
"ACVR1B","Driver","FerrDb_V2_early_preview_20231231"
"ADAM23","Driver","FerrDb_V2_early_preview_20231231"
"ADAMTS13","Suppressor","FerrDb_V2_early_preview_20231231"
"ADAMTS9-AS1","Suppressor","FerrDb_V2_early_preview_20231231"
"ADGRF5","Driver","FerrDb_V2_early_preview_20231231"
"ADIPOQ","Suppressor","FerrDb_V2_early_preview_20231231"
"ADIPOR1","Suppressor","FerrDb_V2_early_preview_20231231"
"ADORA1","Suppressor","FerrDb_V2_early_preview_20231231"
"ADORA2B","Suppressor","FerrDb_V2_early_preview_20231231"
"AEBP1","Suppressor","FerrDb_V2_early_preview_20231231"
"AEBP2","Driver","FerrDb_V2_early_preview_20231231"
"AGAP2-AS1","Suppressor","FerrDb_V2_early_preview_20231231"
