"Gene","HR","HR_lower","HR_upper","P_value"
"SLC27A5",0.64184896629613,0.518527210684607,0.794500437096618,4.63786607861362e-05
"NDRG1",1.49987126436496,1.2044195690121,1.86779911880121,0.000292700456483745
"PKM",1.44414923844906,1.17999586198622,1.76743587846358,0.000362738295821949
"G6PD",1.40564486921931,1.15856006256268,1.70542517579288,0.000556174924944005
"CDK1",1.47714131068837,1.17430516346324,1.85807447640545,0.000860470389272714
"ENO1",1.46518966700189,1.15902819560222,1.85222479352513,0.00140329212435642
"CNIH4",1.48739684560394,1.16491428902099,1.89915206394442,0.00145144763062576
"PCK2",0.726494390116263,0.595147191140762,0.886829521716702,0.0016874133185663
"NT5DC2",1.36226257607895,1.1199696384668,1.65697288787734,0.00197575145228639
"ASNS",1.33982757181353,1.10182481925626,1.62924077477533,0.00337069247975379
"HLF",0.735402837991642,0.594870608905939,0.90913440003501,0.00450618461024722
"CBS",0.757781770903183,0.623115559158987,0.92155171520384,0.00546411180145743
"FEN1",1.3572582767122,1.088153370585,1.69291395817981,0.00674343829549325
"FADS1",1.36312344315082,1.08762439720399,1.70840735647717,0.00716426111339997
"KIF20A",1.3322695061676,1.07899675034037,1.6449929404367,0.00765973191042627
"CCT3",1.35662528238977,1.08050054448059,1.70331441869273,0.00861994410727708
"PPARGC1A",0.739031341855484,0.589003935421115,0.927272792930033,0.00899677288385004
"ASL",0.758726838605686,0.616647938144605,0.933541458603861,0.0090534874324429
"ALDH2",0.756946479461614,0.612577042664652,0.93534026393966,0.00990670909719603
"ANXA10",0.746710406253386,0.596844043741457,0.934207916881933,0.0106069520070967
"MMD",1.30971080637568,1.06477117498034,1.61099627473378,0.0106472376544477
"ESR1",0.718857845645736,0.553368678232549,0.93383782381204,0.0134078592380492
"SCP2",0.767345190194364,0.621301014856153,0.947718781774003,0.0139530476101829
"FOXM1",1.29965152262796,1.04294631244063,1.61954077608894,0.019569420335535
"HELLS",1.26066005737369,1.0362666270019,1.53364369636747,0.0205483207349154
"HPX",0.801691717710966,0.663117082426276,0.969224933694591,0.0224420777278692
"GLS2",0.773886719458198,0.615575582275799,0.972911648541387,0.028153453621643
"GJA1",1.25345928507871,1.02315756383297,1.53559943735756,0.0291844738295189
"AR",0.780430787816937,0.623183855221282,0.977355574072588,0.0308127798262083
"IGF2BP3",1.25441485923515,1.0164925599689,1.54802573185394,0.0346512746166538
"ANO1",0.797589280993911,0.642487428296509,0.990134021521742,0.0403811269894105
"HSPA14",1.24571138584264,1.00084698462804,1.55048362102496,0.0491203214473685
"ZC3H13",0.791774134191244,0.626224488197233,1.00108873317782,0.0510722920642181
"DKK1",1.22287683884579,0.996199000475777,1.50113357097453,0.0544101725344257
"E2F3",1.21207905545955,0.996278241565985,1.47462383036136,0.0545189718892779
"IGF2BP2",1.23886034389323,0.993771426362598,1.54439432545251,0.0568565956711181
"EZH2",1.2256866833221,0.991060371064374,1.515859063217,0.0604999458342213
"CDO1",0.833755675915657,0.687893569854517,1.01054662753802,0.0638770822872831
"DUSP1",0.829539881067009,0.676687200102987,1.01691950753012,0.0720979046028043
"MELK",1.21767027789956,0.981585974830733,1.5105359527327,0.073301687965594
"RAB26",0.812860525144832,0.647888111039205,1.01984003422892,0.0734185852548828
"HJURP",1.21858205119379,0.981050603721552,1.51362448568772,0.0739334844569784
"SQLE",1.22715141537204,0.980210073086367,1.5363039389179,0.0741638304461924
"PDK4",0.811820989288187,0.643751088380301,1.02377041459775,0.078158783977985
"ACSL4",1.21723948193479,0.977815742523263,1.51528748407895,0.0785424903349038
"HMGB2",1.20857744970883,0.978036376641028,1.49346127284262,0.0793778314138932
"BGN",1.2055533238643,0.976813059167321,1.48785768478481,0.0816094627494503
"ANGPTL4",0.824880411460303,0.662430207616506,1.02716887815121,0.0853577267164274
"PER1",0.824557438846822,0.661600862492206,1.0276512751155,0.0859483730356088
"HSPA13",1.19600928813505,0.974862387301131,1.46732322011666,0.086180268462614
"HMGCL",0.830855811200379,0.671374369980038,1.02822122778676,0.0883749832354975
"NQO1",1.1817231727952,0.972181779962961,1.43642854238058,0.0936074007336765
"CENPA",1.1893928067408,0.97069459956633,1.45736388083212,0.0943164482885215
"ACTL6A",1.20824118964711,0.966253357871637,1.51083228893037,0.0971338931652985
"HBA1",1.17988490108152,0.968604974131259,1.43725090927677,0.100359757942324
"HDAC6",0.840285672749875,0.682516216351602,1.03452488733977,0.100992493568893
"STMN1",1.18093564028508,0.961503558014876,1.45044599665844,0.112815230178886
"RRM2",1.19722382277201,0.958073287574535,1.49607018628137,0.113366167213098
"GSTZ1",0.83390381615824,0.665519697243708,1.04489104903025,0.114479305418376
"GABARAPL1",0.830591997111262,0.659410946212333,1.04621112165028,0.114951933072725
"ASS1",0.832317072510884,0.660663579406665,1.04856954550944,0.119350201231959
"RBM3",1.18474529949699,0.952672447896588,1.47335154677695,0.127487868795483
"GLS",0.831696713908487,0.656128088829698,1.05424449235204,0.127679141054585
"ACSL1",0.856563754072111,0.697838265142558,1.05139185028815,0.138689514788759
"SLC47A1",0.855061927063734,0.694805300957163,1.05228169403247,0.139219000034889
"SLC38A2",1.17672240059131,0.946200665257784,1.46340587033526,0.143508023289672
"MAT1A",0.859894296368843,0.70193560941183,1.05339890299517,0.14494744618126
"GMFB",1.15660588342959,0.934147778578061,1.43204019777281,0.181899618063764
"ACADSB",0.866816311509243,0.701613708839774,1.07091766941241,0.185217170150946
"MAPK1",1.14938968916483,0.929194753200094,1.42176508531568,0.199434648721182
"CXCL2",1.1494908502196,0.928555219292615,1.42299476356955,0.200790052606496
"NR4A1",0.854436696605309,0.670512925536207,1.08881132742067,0.20337977612952
"ENPP2",1.15249960523518,0.925486835399732,1.43519636288888,0.204757940239152
"ZEB1",0.877600112418293,0.712036311147311,1.08166106876712,0.220935686787297
"AQP3",0.871563462665536,0.698263092514358,1.08787486779264,0.224240673380499
"ACSL3",1.14194287021988,0.918550678200384,1.41966420557315,0.232070072117897
"NEDD4L",0.874991558117051,0.702623238289543,1.0896454672349,0.232870668069605
"GCH1",0.882404564500637,0.71700648625196,1.08595644583603,0.237477521157194
"TFR2",0.882541396752066,0.717110335280072,1.08613595239412,0.238082572265331
"CAPG",1.12589941334342,0.917266690500857,1.38198574318107,0.256762288367517
"ACACA",1.12733476096005,0.905887262777555,1.40291592065461,0.282753630935695
"MTTP",0.902191378704719,0.744590653711779,1.09315001437581,0.29337172266289
"NPC1",1.11773300902684,0.901031272032856,1.38655240749805,0.311438458394528
"CYP2E1",0.903182623555588,0.736199195178941,1.10804094440022,0.328903881684268
"HSPB1",1.11262760314438,0.894400654916353,1.38410026476847,0.338016915554735
"PARP1",1.11205141258736,0.8943982462214,1.38267080627907,0.339225638005797
