"","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memory_CD4_T_cell","Effector_memory_CD8_T_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_2_T_helper_cell","Type_17_T_helper_cell","Activated_dendritic_cell","Immature_dendritic_cell","Plasmacytoid_dendritic_cell","Macrophage","M1_Macrophage","M2_Macrophage","Monocyte","Natural_killer_cell","Neutrophil","Mast_cell","Eosinophil","MDSC","Natural_killer_T_cell"
"ESR1",0.442743476919235,0.631769914050214,0.311255642535193,0.385212261193754,0.257287417767412,0.400539165300816,0.314470446066587,0.420003695844335,0.316913405213261,0.412493820535507,0.658273140291182,0.593736163137467,0.0807607837404477,0.450738935626223,-0.222588470175358,0.463750419850464,0.51819846984061,0.606967711695416,0.599894571774126,0.475583477272348,0.402312877586884,0.27140055351156,0.646653879192535,0.629591677873178,0.196697689244474
"RRM2",-0.373955028913777,-0.599070299355464,-0.323965934101438,-0.504334427163339,-0.33981626658147,-0.491267925822258,-0.371716961124356,-0.266341312490643,-0.379084046790307,-0.255343040067097,-0.455707220367615,-0.555478630655436,-0.150768410774501,-0.526858144964505,0.210045578777552,-0.479716139179664,-0.387372484287475,-0.57954110539342,-0.684545039762679,-0.488266926419666,-0.357102677631417,-0.234731678812919,-0.548319010461547,-0.488481420952092,-0.273108094633045
"HAMP",0.376104953279907,0.561622628374837,0.381882787922735,0.585436263815038,0.451756142828241,0.536735738480371,0.443814542580705,0.167066624474463,0.30192661975321,0.266873043303185,0.430265742973535,0.413164983023992,0.229150874389223,0.55662052850602,-0.093835653234148,0.568346059243908,0.390902841620252,0.659713989422331,0.699912039826638,0.512218022107446,0.446313928578278,0.244371548891654,0.430267309817396,0.477874366623756,0.380890676560123
"EGR1",0.346939796837562,0.617618216339665,0.388282086132012,0.596881268714347,0.45833050056795,0.552183549634542,0.449196535604091,0.221067282077949,0.319739155636428,0.267366295183554,0.422510104840602,0.388818863625746,0.276737569351098,0.529903301710907,-0.167954532138603,0.493680402947578,0.449958614109022,0.560773910071861,0.672835178770127,0.511382826480497,0.397784195875647,0.278749481633942,0.423242291733948,0.452726594627928,0.367434285860401
"CDK1",-0.345200842717872,-0.554590487974353,-0.331329896974261,-0.498402456714593,-0.34841001558989,-0.496707444863716,-0.385675134832291,-0.218587047109099,-0.333807933083138,-0.232490016081034,-0.454848408114866,-0.500716291456825,-0.122650866141818,-0.504495528472738,0.213776954496896,-0.526585932333353,-0.377733979461581,-0.633356612793036,-0.711494425286227,-0.497790528482511,-0.328340107063072,-0.236954219237965,-0.510533771841608,-0.529237864680768,-0.289630998183073
"CNIH4",-0.510258182129203,-0.650460045165219,-0.37467053241515,-0.503623414750832,-0.379374445482767,-0.491238473978868,-0.404665342300047,-0.386020284394963,-0.344515071551354,-0.389645238165954,-0.615887826095539,-0.457066423853817,-0.217060595532725,-0.512399349386728,0.150699914245923,-0.449038587044016,-0.490354358218861,-0.542297606041964,-0.627170960295479,-0.457398795977546,-0.366502547208937,-0.278227560966077,-0.604204705462613,-0.555986915159397,-0.268290127947547
"GSTZ1",0.349007163797808,0.552147517048331,0.3336171263068,0.429936330777889,0.287069023832737,0.458501248096459,0.359133020902523,0.244100552627105,0.248571902370428,0.244457049163449,0.44063890580142,0.523407347408781,0.0632994675853421,0.416045917555324,-0.256260220726002,0.506009763346332,0.355310222747225,0.65526115895928,0.664684041953458,0.447458994889879,0.365114893784797,0.138000764157347,0.485473650108928,0.573811299703925,0.211386440208913
"AURKA",-0.316730712979196,-0.537666131252775,-0.363724727037452,-0.54920749601099,-0.41123326303535,-0.536860346167331,-0.434400152736117,-0.160963321935774,-0.303818366789937,-0.159928124303008,-0.346436803569709,-0.447378628957085,-0.182088895439014,-0.520776958162169,0.150268124010271,-0.534170848831182,-0.376411138557967,-0.616643047902516,-0.730182072090077,-0.565275950358642,-0.401814409033766,-0.215141836992577,-0.430629681255861,-0.472154140353751,-0.385111160399642
"PARP1",-0.367731808522453,-0.578838349722037,-0.317127671453804,-0.448434079828789,-0.315634566866325,-0.455022683859527,-0.362214700181394,-0.304554045619822,-0.329201594960812,-0.262433343771442,-0.491877533127201,-0.48220680628977,-0.177082575848636,-0.471709679912292,0.195617447279083,-0.449446612326126,-0.470370488138399,-0.526605542004749,-0.612759828028813,-0.446540659108599,-0.377610089306342,-0.223038819170873,-0.568563147349831,-0.498756158862402,-0.249765418048268
"FEN1",-0.418915908302499,-0.600908178182638,-0.359042694529503,-0.50796681380259,-0.34864971092166,-0.497133508398026,-0.374803607246838,-0.274290161634708,-0.383000866664913,-0.264614686654837,-0.489070468056761,-0.565009139525556,-0.182701184402849,-0.53867961819624,0.164580565038686,-0.490331638610918,-0.4140068027922,-0.604701368565465,-0.704306197649291,-0.502945950876015,-0.365467304315711,-0.232980965145639,-0.577050140599416,-0.552224987561154,-0.294695984709293
