"","Cisplatin_1005","Gefitinib_1010","Axitinib_1021","5-Fluorouracil_1073","Sorafenib_1085","Oxaliplatin_1089","Erlotinib_1168","Gemcitabine_1190","Lapatinib_1558","Oxaliplatin_1806"
"GSM362958",3.13839573856578,3.24295693607699,2.62149533853492,5.01329580484079,2.80581303151767,4.22770732521014,2.50275877903664,0.0316876175417989,3.33835503896784,5.27381440908584
"GSM362959",2.77636573976103,3.04723509020043,2.54275521806141,4.86202670865263,2.16568849079114,3.46085754753087,2.35462969257354,-0.512084078969169,2.64236397554799,4.66566594401246
"GSM362960",3.19550508694517,3.33419797049932,2.69161775876153,5.18998272745349,2.5223732585523,3.86746825555019,2.75579690873594,-0.210598093207309,3.00051799459463,4.71860600484186
"GSM362961",3.23921449443747,2.77708595797477,2.76754217395847,5.20423282063923,2.40059645549749,3.57048935708442,2.35252421016423,-1.4002928674727,2.61008752956286,4.34253279379922
"GSM362962",3.26746033115504,3.00939759721243,2.67745129484416,4.60427922142745,2.34157858537874,3.42342125202674,2.51085573108908,-1.03397024969158,2.96044111061051,4.48329109123914
"GSM362963",3.23432319922239,3.06335085898809,2.94247968354727,4.67816992186868,2.31223128840289,3.35252146272133,2.48248392678455,-1.26128404497609,2.88372712603526,4.3995719933888
"GSM362964",3.57702208793208,3.55950074748643,2.9378627065677,4.97288990066846,2.57048909503709,4.2889845052103,2.71942629621986,0.441183089164212,3.27721460100525,5.39720736084791
"GSM362965",3.43526795168582,3.56489264070587,2.8892906127912,5.0009190708274,2.64721518195298,4.28259502490047,2.83992169691047,0.0642377542902031,3.00069615444195,5.37207100391921
"GSM362966",4.48407750207703,3.46743333219261,3.4791244726639,5.99031343031591,3.14113405537985,4.88279403497213,2.64862626896031,1.94561943712182,3.19856986790195,5.89592487846647
"GSM362967",3.08713849904996,2.81544116015567,2.83394488073432,4.55485431016093,2.21577414119098,3.23232448013958,2.37500594705792,-1.50925152756518,2.67637369754237,4.32938564974265
"GSM362968",2.77745612780846,2.85136870564611,2.87044685462285,4.17992705609599,2.24787677183098,3.27116907721395,2.44199648219248,-1.83300982500262,2.77766881264717,4.34162112393833
"GSM362969",3.31364358201697,3.08736829961522,2.95175224066611,4.7856713262684,2.3311337586979,3.43476529438877,2.47306860321889,-1.3416457190774,2.80542315669493,4.25996919026873
"GSM362970",3.01153076186841,3.00467784079602,2.91440236159584,5.0100233341188,2.42406199816326,3.67115478959838,2.50400212549575,-0.113171501760961,3.08395676420979,4.9437884122954
"GSM362971",2.91078258705993,3.05385489343751,2.69895553643984,4.28693027063739,2.40501577534163,3.27637969747604,2.59688372804159,-2.25435011412921,2.64484988380347,4.33279972511288
"GSM362972",4.40269389385801,3.59670689219899,2.96247671391438,5.2117483102274,2.92190039236101,4.4476343049915,3.01880551002125,1.80940892689767,3.33631008946741,5.70373051586906
"GSM362973",3.62229745352882,2.96967166595648,2.64752935081178,4.83628220886758,2.27533077138896,3.43803024884608,2.52605219253027,-0.444527143946247,2.80909925465615,4.44526054162071
"GSM362974",2.36835635778149,3.1725084917301,2.60607511485229,4.27851241115754,2.31778753340723,3.03151560054355,2.66846869758094,-1.0057179548594,2.96925707958776,4.30643791512928
"GSM362975",3.48064732416708,3.08842651720088,2.62254949594769,4.89058900143305,2.44101137284467,3.58730099696107,2.47958322791302,-0.790248342401611,2.94960117480152,4.53875123253018
"GSM362976",3.20026444671963,3.37917449306333,3.41001180452943,4.45993056328488,2.58278446362676,3.74405775286661,2.6692080771343,-0.753210174295219,3.2795599373055,5.02825900414297
"GSM362977",4.16337114665362,3.36847164824026,2.92769573552475,5.29105822457874,2.67443289394826,4.20550814734196,2.79580293054599,1.09158457297029,3.00188941444087,5.29595676545523
"GSM362978",4.00861122225224,3.52780563093073,3.10925161452163,5.1071357722117,2.76350117646773,4.41517366102955,2.85372131023265,1.09602633809664,3.09263388726224,5.58256626491168
"GSM362979",2.78990166694591,2.81356581399132,2.59457612069253,4.17735320521358,2.07670699172612,3.12439505017941,2.29137644083289,-1.78492475050116,2.893422600267,4.3819344715592
"GSM362980",3.68318000712349,3.06421854515517,2.59755830059421,4.93055192019317,2.25232522602742,3.43043495132327,2.59072838689669,-0.802779024523186,2.68780533027776,4.36533092739988
"GSM362981",3.37902713106938,3.16073438483309,2.76990951023338,4.84683456696734,2.5139824274995,3.58329128789269,2.52470280489165,-1.48675036235304,2.64006729732911,4.57317227382804
"GSM362982",4.07029625075988,3.20466435572389,3.05886668792915,5.24294488711532,3.05199965138535,4.80769424965981,2.83316714424991,0.441974200095822,3.20487909419827,5.99585117400511
"GSM362983",3.62380302072048,3.21411175367745,2.61265286345983,5.29277741940582,2.63950086741507,4.31265632108645,2.54112023459901,0.732817362383404,2.76637472444312,5.91403049920923
"GSM362984",2.74348882025424,3.10338466004131,2.64101058898907,4.53464200515034,2.55767075526466,3.51776280732861,2.47660154934958,-0.361283801790228,2.88773833946392,4.75585129356274
"GSM362985",3.4011274171304,2.99825648109589,2.67542498063837,4.79031630529205,2.45616734633867,3.47263103033,2.48757002931003,-0.662142592579478,3.00825918979002,4.54894547535039
"GSM362986",2.62018629295112,3.53407276823646,2.87070047696035,3.90539647016278,2.5704780299644,3.57131217697483,2.71129564933306,-0.710605472615259,3.29026657778858,4.82271270603645
"GSM362987",4.26083145520842,3.11365032386141,3.06056307417358,4.34991009411665,2.46908260018407,3.95424543563321,2.72983129565478,1.94583176642856,2.76540963261482,5.06885537559939
"GSM362988",2.82200155014011,3.20364396797699,2.45118167347594,4.64326213475204,2.62344560601048,3.83853351420077,2.59300531243512,-0.430310996966479,3.44622623532007,5.01953108768848
"GSM362989",3.16529192902703,3.13421414589724,2.7307661483843,4.44398328193137,2.41062343590461,3.37591663159765,2.68204922718301,-0.410462065528486,2.92751408137976,4.50186799722272
"GSM362990",3.49165257778444,2.88886527788802,2.76613700939466,4.62888878930335,2.37796038524642,3.3700658548406,2.47341894002169,-0.800883531170316,2.6163623643365,4.41294046610187
"GSM362991",2.69763697848177,3.06476282238216,3.00107854185517,4.11380696632083,2.53982485859527,3.34372585212618,2.36266473604523,-1.96150108122125,3.27226051659641,4.45592565896293
"GSM362992",4.0574645647417,3.33070867649872,2.83838122085653,4.74825948279189,2.14021271363263,3.97610550583308,2.8630724765969,1.21084268723412,2.89300054887728,5.17425981332896
"GSM362993",4.07743152009433,3.5260932692187,3.1223134030838,5.51936969945089,3.00611646456903,4.5073897677427,2.79971856498086,0.866123018888251,3.35781875521371,5.46284191555819
"GSM362994",3.91742035476852,3.18991238738619,2.59968018259529,5.43170102798778,3.07864616508479,4.37414880145655,2.78351666180123,2.40964287323499,2.96138824755745,5.43311923062431
"GSM362995",3.31026463611754,3.20929841978999,2.76130773513693,4.60434356855435,2.53614836102704,3.46967397256873,2.5372159729346,-1.10569483716685,3.16594451980498,4.5953609119368
"GSM362996",3.10426659547949,2.90038658810193,2.67786546008666,4.33976813011612,2.25351147415188,3.32977795025362,2.37114177612241,-1.11542154177245,3.03627275569843,4.51990292578071
"GSM362997",3.30886073067438,3.02850154474866,2.51918727773775,4.53244663026722,2.29992247918749,3.24852751070697,2.55722021962234,-0.523590185237444,3.02806025672379,4.33880526227727
"GSM362998",3.38220618733041,2.82198691491005,2.66324191179492,5.78871599727941,2.64673700605008,3.79836809269463,2.3606374231227,-0.398354249042681,3.04561495241468,4.79870042621491
"GSM362999",3.09026333194205,2.67641429707207,2.36557902915656,5.245852747252,2.53756113490266,3.46884966209471,2.1263792801476,-0.763672117076133,3.0074294146515,4.21514159868111
"GSM363000",2.28612417764179,2.73911486423868,2.67055423990549,3.74906335087808,2.01059628449681,3.07429379378486,2.30887882621805,-1.7732366707152,2.87104286849616,4.35508598348413
"GSM363001",3.49050801069017,2.84703405861027,2.95811400424342,4.6243285356025,2.47878715850587,3.44106218451751,2.47730204548725,-0.626626614268094,2.81905368308569,4.55515475503103
