"Drug","High_Mean","Low_Mean","Diff","P_value","FDR"
"BMS-754807_2171",0.80546665318129,0.291467149506383,0.513999503674908,3.52709717244636e-07,3.46831221957225e-06
"AZD6482_2169",3.58240823347025,3.08611499303313,0.496293240437121,1.26926536294716e-09,1.49773312827765e-08
"Nutlin-3a (-)_1047",5.34970829717074,4.9859549915352,0.363753305635544,0.00238788620620353,0.00670882315076229
"AZD8055_1059",0.0893347188521391,-0.126091222629798,0.215425941481937,4.2175597956516e-12,2.48836027943444e-10
"AZD2014_1441",2.46310599861321,2.27673042511761,0.186375573495599,9.72221860893018e-07,7.17013622408601e-06
"MK-2206_1053",3.30636828426203,3.12185210666019,0.184516177601845,0.00203147991381991,0.00599286574576874
"AZD5991_1720",4.01472284203504,3.83386691318689,0.180855928848156,0.0490289421941737,0.0933131480469757
"GSK269962A_1192",3.05391174192352,2.89433871773743,0.159573024186097,6.71611393757347e-05,0.000264167148211223
"AZD8186_1918",3.54726415370979,3.40471379816968,0.142550355540111,0.00323351888766703,0.00794906726551478
"AZD3759_1915",2.81969833434382,2.7264777288441,0.0932206054997207,0.00190583180285994,0.00599286574576874
"JQ1_2172",2.674350526687,2.59138940411327,0.0829611225737237,0.0262205141948627,0.0515670112498966
"AZD1208_1449",5.40808858250536,5.33596812634145,0.0721204561639066,0.0262205141948627,0.0515670112498966
