"","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memory_CD4_T_cell","Effector_memory_CD8_T_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_2_T_helper_cell","Type_17_T_helper_cell","Activated_dendritic_cell","Immature_dendritic_cell","Plasmacytoid_dendritic_cell","Macrophage","M1_Macrophage","M2_Macrophage","Monocyte","Natural_killer_cell","Neutrophil","Mast_cell","Eosinophil","MDSC","Natural_killer_T_cell"
"GSM362958",3.8886,3.6571,3.92425,4.20575,4.208,4.439,4.2455,3.55816666666667,4.21525,3.50666666666667,3.38895833333333,4.132,3.96816666666667,3.88566666666667,4.88266666666667,5.24452777777778,3.7818,6.74733333333333,6.625,3.59222916666667,4.236375,3.76126666666667,4.23111111111111,5.719125,4.09241666666667
"GSM362959",4.06075,3.985,4.2025,4.74925,4.6685,5.42666666666667,4.97925,3.6475,4.400875,3.62266666666667,3.52329166666667,4.39433333333333,4.21933333333333,4.25633333333333,4.9655,4.6845,3.7168,5.263,6.706,3.947625,4.08075,3.93355,3.90266666666667,4.803375,5.13283333333333
"GSM362960",4.05605,4.064,4.0475,4.6495,4.5865,4.84533333333333,4.524,3.7255,4.709625,3.71766666666667,3.54379166666667,4.32533333333333,4.28916666666667,4.15666666666667,4.68633333333333,4.70786111111111,3.7634,5.99533333333333,6.629,4.2099375,4.1135,3.78455,3.92977777777778,5.26775,4.98691666666667
"GSM362961",4.15965,4.1599,5.3335,4.950875,5.447,5.26916666666667,5.47175,3.89583333333333,4.459,3.924,3.53833333333333,4.77216666666667,4.14141666666667,4.55166666666667,4.78466666666667,5.1645,3.8725,6.78325,8.0635,4.25964583333333,4.377,4.01028333333333,4.18855555555556,6.312125,4.92008333333333
"GSM362962",4.23245,3.9956,4.46475,5.106375,4.99725,5.33166666666667,4.919375,3.61566666666667,4.5025,3.724,3.62120833333333,4.47866666666667,4.0165,4.15666666666667,4.54416666666667,5.60752777777778,3.8721,6.91133333333333,8.0875,4.02214583333333,4.235875,3.95511666666667,4.23811111111111,5.8655,4.83508333333333
"GSM362963",4.41035,4.0275,4.45725,5.012375,4.96375,5.47916666666667,5.17925,3.77466666666667,4.636,3.626,3.525875,4.81016666666667,4.1455,4.314,4.6125,5.47738888888889,3.863,6.92841666666667,8.2725,4.1388125,4.273875,3.82866666666667,4.02733333333333,5.942625,4.75408333333333
"GSM362964",4.27775,3.9419,4.402,4.86225,5.0915,5.53883333333333,5.409375,3.82083333333333,4.358,3.47266666666667,3.50370833333333,4.328,4.22266666666667,4.348,4.784,5.29169444444444,3.7007,6.64983333333333,7.4855,4.22522916666667,4.06925,3.87798333333333,4.13744444444444,5.596625,5.23408333333333
"GSM362965",4.1165,3.8569,4.25725,4.8615,4.8365,4.852,4.7175,3.51916666666667,4.45575,3.617,3.53625,4.14666666666667,4.28791666666667,4.54233333333333,4.8015,6.09086111111111,3.821,7.24258333333333,7.929,4.02122916666667,4.05875,4.0192,3.91122222222222,5.911375,4.52808333333333
"GSM362966",3.9731,3.7456,4.14575,4.30575,4.32775,4.21166666666667,4.2,3.64716666666667,4.202,3.51566666666667,3.38425,4.317,3.95758333333333,4.024,4.5595,4.44044444444444,3.619,5.82783333333333,7.649,3.95472916666667,4.037375,3.78963333333333,3.86288888888889,5.393125,4.20508333333333
"GSM362967",4.0471,4.3104,4.861,5.179625,5.3205,5.71533333333333,5.593875,3.92516666666667,4.680125,3.79233333333333,3.62520833333333,4.683,4.48566666666667,4.258,4.53933333333333,5.76533333333333,3.9495,7.00925,8.347,4.2355,4.6485,4.03095,4.17722222222222,6.069875,4.86866666666667
