Target,Source,Ligand,Ingredient_Name,Ingredient_Alias,Molecule_ChEMBL_ID,Canonical_SMILES,Match_Similarity,Exact_SMILES_Match,Match_Method,Matched_Query,Target_ChEMBL_ID,Target_Organism,Assay_CHEMBL_ID,Assay_Type,Standard_Type,Standard_Value,Standard_Units,Standard_Relation,pChEMBL_Value,Activity_ID
SAMHD1,ChEMBL_known,Eucalyptol,"1,8 cineole","Eucalyptol; cineole; 1,8-Cineole; 470-82-6; 1,8-Cineol; Cajeputol; 1,8-Epoxy-p-menthane; Eucalyptole; Eucapur; Zineol",CHEMBL5492876,CC1(C)O[C@]2(C)CC[C@@H]1CC2,100,False,SMILES,CC1(C2CCC(O1)(CC2)C)C,CHEMBL4523507,Homo sapiens,CHEMBL5483194,F,Inhibition,1.786,%,=,,25813629
AKR1B1,ChEMBL_known,Curcumenone,"(1s,6r,7r)-4-isopropylidene-1-methyl-7-(3-oxobutyl)norcaran-3-one","Curcumenone; 100347-96-4; (1S,6beta)-1beta-Methyl-4-(1-methylethylidene)-7beta-(3-oxobutyl)bicyclo[4.1.0]heptan-3-one; Bicyclo(4.1.0)heptan-3-one, 1-methyl-4-(1-methylethylidene)-7-(3-oxobutyl)-, (1S,6R,7R)-; SCHEMBL3300327; CHEMBL4643848; CHEBI:81130; DTXSID30905433; AKOS040760356; FS-7460",CHEMBL4643848,CC(=O)CC[C@@H]1[C@H]2CC(=C(C)C)C(=O)C[C@@]12C,100,False,SMILES,CC(=C1CC2C(C2(CC1=O)C)CCC(=O)C)C,CHEMBL1900,Homo sapiens,CHEMBL4603181,B,Inhibition,3.0,%,=,,20599875
PTPN2,ChEMBL_known,Aerugidiol,"(3s,3ar,8ar)-3,8a-dihydroxy-5-isopropylidene-3,8-dimethyl-1,2,3a,4-tetrahydroazulen-6-one","Aerugidiol; 116425-35-5; (3S,3aR,8aR)-3,8a-dihydroxy-3,8-dimethyl-5-propan-2-ylidene-1,2,3a,4-tetrahydroazulen-6-one; CHEMBL2332431; DTXSID901318401; BDBM50429857; AKOS040762631; MS-23547; HY-121083; CS-0079425",CHEMBL2332431,CC1=CC(=O)C(=C(C)C)C[C@@H]2[C@@](C)(O)CC[C@]12O,100,False,SMILES,CC1=CC(=O)C(=C(C)C)CC2C1(CCC2(C)O)O,CHEMBL3807,Homo sapiens,CHEMBL2344761,B,IC50,45900.0,nM,=,4.34,12687249
PTPN1,ChEMBL_known,Aerugidiol,"(3s,3ar,8ar)-3,8a-dihydroxy-5-isopropylidene-3,8-dimethyl-1,2,3a,4-tetrahydroazulen-6-one","Aerugidiol; 116425-35-5; (3S,3aR,8aR)-3,8a-dihydroxy-3,8-dimethyl-5-propan-2-ylidene-1,2,3a,4-tetrahydroazulen-6-one; CHEMBL2332431; DTXSID901318401; BDBM50429857; AKOS040762631; MS-23547; HY-121083; CS-0079425",CHEMBL2332431,CC1=CC(=O)C(=C(C)C)C[C@@H]2[C@@](C)(O)CC[C@]12O,100,False,SMILES,CC1=CC(=O)C(=C(C)C)CC2C1(CCC2(C)O)O,CHEMBL335,Homo sapiens,CHEMBL2344762,B,IC50,35700.0,nM,=,4.45,12687265
CYP19A1,ChEMBL_known,(+)-alpha-thujene,(5s)-1-isopropyl-4-methylbicyclo[3.1.0]hex-3-ene,"(+)-alpha-thujene; thujiene; U9HIP11C7C; O47H0626QK; alpha-Thujene, (+)-; UNII-U9HIP11C7C; alpha-Thujene, (+/-)-; Origanene; UNII-O47H0626QK; EINECS 220-686-7",CHEMBL283196,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,,False,NAME,(+)-alpha-thujene,CHEMBL1978,Homo sapiens,CHEMBL661762,B,Ki,20.0,nM,=,7.70,593348
PRKDC,ChEMBL_known,(+)-alpha-thujene,(5s)-1-isopropyl-4-methylbicyclo[3.1.0]hex-3-ene,"(+)-alpha-thujene; thujiene; U9HIP11C7C; O47H0626QK; alpha-Thujene, (+)-; UNII-U9HIP11C7C; alpha-Thujene, (+/-)-; Origanene; UNII-O47H0626QK; EINECS 220-686-7",CHEMBL283196,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,,False,NAME,(+)-alpha-thujene,CHEMBL3142,Homo sapiens,CHEMBL827974,B,IC50,4980.0,nM,=,5.30,1410306
CYP1B1,ChEMBL_known,(+)-alpha-thujene,(5s)-1-isopropyl-4-methylbicyclo[3.1.0]hex-3-ene,"(+)-alpha-thujene; thujiene; U9HIP11C7C; O47H0626QK; alpha-Thujene, (+)-; UNII-U9HIP11C7C; alpha-Thujene, (+/-)-; Origanene; UNII-O47H0626QK; EINECS 220-686-7",CHEMBL283196,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,,False,NAME,(+)-alpha-thujene,CHEMBL4878,Homo sapiens,CHEMBL926266,A,IC50,5.0,nM,=,8.30,2057047
CYP1A1,ChEMBL_known,(+)-alpha-thujene,(5s)-1-isopropyl-4-methylbicyclo[3.1.0]hex-3-ene,"(+)-alpha-thujene; thujiene; U9HIP11C7C; O47H0626QK; alpha-Thujene, (+)-; UNII-U9HIP11C7C; alpha-Thujene, (+/-)-; Origanene; UNII-O47H0626QK; EINECS 220-686-7",CHEMBL283196,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,,False,NAME,(+)-alpha-thujene,CHEMBL2231,Homo sapiens,CHEMBL926267,A,IC50,60.0,nM,=,7.22,2057054
CYP1A2,ChEMBL_known,(+)-alpha-thujene,(5s)-1-isopropyl-4-methylbicyclo[3.1.0]hex-3-ene,"(+)-alpha-thujene; thujiene; U9HIP11C7C; O47H0626QK; alpha-Thujene, (+)-; UNII-U9HIP11C7C; alpha-Thujene, (+/-)-; Origanene; UNII-O47H0626QK; EINECS 220-686-7",CHEMBL283196,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,,False,NAME,(+)-alpha-thujene,CHEMBL3356,Homo sapiens,CHEMBL926268,A,IC50,6.0,nM,=,8.22,2057061
HSD17B10,ChEMBL_known,(+)-alpha-thujene,(5s)-1-isopropyl-4-methylbicyclo[3.1.0]hex-3-ene,"(+)-alpha-thujene; thujiene; U9HIP11C7C; O47H0626QK; alpha-Thujene, (+)-; UNII-U9HIP11C7C; alpha-Thujene, (+/-)-; Origanene; UNII-O47H0626QK; EINECS 220-686-7",CHEMBL283196,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,,False,NAME,(+)-alpha-thujene,CHEMBL4159,Homo sapiens,CHEMBL1613910,F,Potency,31622.8,nM,=,4.50,3689362
