MOL_ID,Molecule_Name,MW,AlogP,Hdon,Hacc,OB,Caco2,BBB,DL,FASA,HL,RT
MOL000117,Cymol,134.24,3.51,0,0,27.20,1.86,2.10,0.02,0.34,,
MOL000118,(L)-alpha-Terpineol,154.28,2.42,1,1,48.80,1.39,1.72,0.03,0.27,11.35,
MOL000130,CAM,152.26,1.94,0,1,67.17,1.29,1.71,0.05,0.27,11.34,
MOL000018,(+/-)-Isoborneol,154.28,1.98,1,1,86.98,1.27,1.60,0.05,0.00,11.36,
MOL000019,D-Camphene,136.26,2.93,0,0,34.98,1.81,2.19,0.04,0.00,11.29,
MOL000197,Myrcene,136.26,3.69,0,0,24.96,1.84,1.98,0.02,0.37,,
MOL000208,()-Aromadendrene,204.39,4.22,0,0,55.74,1.81,2.06,0.10,0.26,11.84,
MOL000023,Hemo-sol,136.26,3.50,0,0,39.84,1.83,2.12,0.02,0.00,11.68,
MOL000024,alpha-humulene,204.39,5.04,0,0,22.98,1.88,2.08,0.06,0.00,,
MOL000244,()-Borneol,154.28,1.98,1,1,81.80,1.22,1.47,0.05,0.24,11.36,
MOL000268,"(1S,5S)-1-isopropyl-4-methylenebicyclo[3.1.0]hexane",136.26,2.93,0,0,46.21,1.83,2.18,0.04,0.31,11.47,
MOL000027,alpha-Curcumene,202.37,5.34,0,0,4.68,1.93,1.99,0.06,0.00,,
MOL000295,alexandrin,576.95,6.34,4,6,20.63,-0.20,-0.81,0.63,0.00,,
MOL000296,hederagenin,414.79,8.08,1,1,36.91,1.32,0.96,0.75,0.00,5.35,
MOL000032,beta-Eudesmol,222.41,3.72,1,1,26.09,1.32,1.38,0.10,0.00,,
MOL000035,beta-Selinene,204.39,4.81,0,0,24.39,1.83,2.12,0.08,0.00,,
MOL000036,beta-caryophyllene,204.39,4.75,0,0,29.70,1.83,2.07,0.09,0.00,,
MOL000037,γ-elemene,204.39,4.93,0,0,23.79,1.87,2.10,0.06,0.00,,
MOL000474,(-)-Epoxycaryophyllene,220.39,3.52,0,1,35.94,1.57,1.83,0.13,0.00,6.09,
MOL000048,"(5E,9Z)-3,6,10-trimethyl-4,7,8,11-tetrahydrocyclodeca[b]furan",216.35,4.63,0,1,43.17,1.77,1.83,0.10,0.00,-1.40,
MOL000485,TMH,136.26,2.87,0,0,46.25,1.82,2.18,0.05,0.00,11.42,
MOL000615,delta-amorphene,204.39,4.94,0,0,17.95,1.85,1.99,0.08,0.24,,
MOL000669,(S)-camphor,152.26,1.94,0,1,21.68,1.28,1.74,0.05,0.28,,
MOL000887,demethoxycurrcumin,338.38,3.37,3,5,4.89,0.72,-0.04,0.33,0.35,,
MOL000888,demethoxycurrcumin,338.38,3.24,2,5,4.37,0.30,-0.25,0.33,0.37,,
MOL000889,isocurcumenol,234.37,2.93,1,2,97.67,1.11,1.24,0.13,0.25,9.52,
MOL000890,(+)-alpha-Curcumene,202.37,5.34,0,0,26.56,1.93,2.03,0.06,0.33,,
MOL000891,"(1R,10R)-epoxy-1,10-dihydrocurdione",252.39,1.97,0,3,36.73,0.68,0.64,0.12,0.28,3.23,
