Protein,Ligand,Affinity_Pred_Value,Affinity_pIC50,Affinity_Prob,Confidence,Endpoint,Status
AKT1,(-)-Isoledene,1.5575437545776367,6.059510318756104,0.11209212988615036,0.8712647557258606,,OK
AKT1,(-)-Sabinene,2.1433091163635254,5.2605263652801515,0.06630154699087143,0.8293381929397583,,OK
AKT1,(+)-alpha-thujene,2.0069265365600586,5.446552204132081,0.06285280734300613,0.8592222332954407,,OK
AKT1,"(1s,3e,7e,11s)-1,5,5,8-tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene",1.7708721160888672,5.768530433654786,0.06903310865163803,0.8484458327293396,,OK
AKT1,"(3s,4r)-3-isopropenyl-1-isopropyl-4-methyl-4-vinylcyclohexene",1.5717108249664307,6.040186434745789,0.1552755981683731,0.8830485343933105,,OK
AKT1,Aerugidiol,1.148872971534729,6.61693726682663,0.1087428405880928,0.825117290019989,,OK
AKT1,Curcumenone,2.2288382053375244,5.143864687919617,0.19240626692771912,0.8717334866523743,,OK
AKT1,Curdione,1.8290345668792725,5.689196850776673,0.10976068675518036,0.8640555739402771,,OK
MTOR,(-)-Isoledene,1.5118489265441895,6.121838064193726,0.12201690673828125,0.491708904504776,,OK
MTOR,(-)-Sabinene,2.2105469703674316,5.168813932418824,0.08944497257471085,0.4112783372402191,,OK
AKT1,Curzerenone,1.7567057609558105,5.787853342056275,0.12021642923355103,0.831132709980011,,OK
MTOR,(+)-alpha-thujene,1.884566068649292,5.613451882362366,0.09597480297088623,0.43136587738990784,,OK
PIK3CA,(-)-Isoledene,1.1370162963867188,6.633109771728516,0.14211031794548035,0.6099246144294739,,OK
MTOR,"(1s,3e,7e,11s)-1,5,5,8-tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene",1.946183204650879,5.529406108856201,0.13630464673042297,0.43151625990867615,,OK
AKT1,Furanodiene,1.7721936702728271,5.766727833747864,0.11817462742328644,0.8754656910896301,,OK
PIK3CA,(-)-Sabinene,1.7188328504562378,5.839511991977692,0.12962237000465393,0.5950466394424438,,OK
PIK3CA,Nonan-2-one,1.7057788372039795,5.857317666053772,0.1582672894001007,0.6069958806037903,,OK
PIK3CA,(S)-(+)-2-Heptanol,1.6859121322631836,5.884415851593018,0.12720468640327454,0.5852720141410828,,OK
