Protein,Ligand,Affinity_Pred_Value,Affinity_pIC50,Affinity_Prob,Confidence,Endpoint,Status
SLC27A5,Curdione,1.3125,6.393750000000001,0.181640625,0.37304332852363586,,OK
SLC27A5,Eucalyptol,2.46875,4.816625,0.1142578125,0.3821956217288971,,OK
SLC27A5,"(1s,3e,7e,11s)-1,5,5,8-tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene",1.0625,6.734750000000001,0.12109375,0.3649981915950775,,OK
SLC27A5,(-)-Sabinene,1.421875,6.244562500000001,0.2890625,0.41611987352371216,,OK
SLC27A5,Curcumenone,1.71875,5.839625000000001,0.404296875,0.3619975745677948,,OK
SLC27A5,"(2S)-3',4'-Methylenedioxy-5,7-dimethoxyflavan",0.69140625,7.240921875000001,0.45703125,0.385171502828598,,OK
SLC27A5,Nonan-2-one,1.53125,6.095375000000001,0.189453125,0.3408254086971283,,OK
SLC27A5,(S)-(+)-2-Heptanol,1.125,6.649500000000001,0.150390625,0.3375934064388275,,OK
SLC27A5,Undecan-2-one,1.5,6.138000000000001,0.1572265625,0.3402480185031891,,OK
SLC27A5,Aerugidiol,0.8671875,7.00115625,0.251953125,0.3720456659793854,,OK
SLC27A5,"(3s,4r)-3-isopropenyl-1-isopropyl-4-methyl-4-vinylcyclohexene",1.4375,6.22325,0.19140625,0.37235933542251587,,OK
SLC27A5,(-)-Isoledene,1.71875,5.839625000000001,0.08642578125,0.36308419704437256,,OK
SLC27A5,Furanodiene,1.0625,6.734750000000001,0.140625,0.3639327585697174,,OK
SLC27A5,Curzerenone,1.625,5.9675,0.263671875,0.3623298704624176,,OK
SLC27A5,(+)-alpha-thujene,1.34375,6.351125000000001,0.1953125,0.35155534744262695,,OK
ENO1,Curdione,0.52734375,7.464703125000001,0.5703125,0.5642457008361816,,OK
ENO1,Eucalyptol,2.3125,5.02975,0.1103515625,0.5165508985519409,,OK
ENO1,"(1s,3e,7e,11s)-1,5,5,8-tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene",1.6640625,5.914218750000001,0.34765625,0.5181998014450073,,OK
ENO1,(-)-Sabinene,2.0625,5.37075,0.1357421875,0.5743643045425415,,OK
ENO1,Curcumenone,1.65625,5.924875,0.4765625,0.5060102343559265,,OK
ENO1,"(2S)-3',4'-Methylenedioxy-5,7-dimethoxyflavan",1.171875,6.585562500000001,0.37109375,0.5796510577201843,,OK
ENO1,Nonan-2-one,1.75,5.797000000000001,0.216796875,0.5836189985275269,,OK
ENO1,(S)-(+)-2-Heptanol,1.28125,6.436375000000001,0.2080078125,0.5675049424171448,,OK
ENO1,Undecan-2-one,1.171875,6.585562500000001,0.1787109375,0.578784167766571,,OK
ENO1,Aerugidiol,1.6015625,5.99946875,0.4375,0.578463077545166,,OK
ENO1,"(3s,4r)-3-isopropenyl-1-isopropyl-4-methyl-4-vinylcyclohexene",1.296875,6.4150625,0.20703125,0.5024991035461426,,OK
ENO1,(-)-Isoledene,1.4375,6.22325,0.3984375,0.5223302245140076,,OK
ENO1,Furanodiene,0.7734375,7.129031250000001,0.1650390625,0.5136532783508301,,OK
ENO1,Curzerenone,1.984375,5.4773125,0.375,0.5454330444335938,,OK
ENO1,(+)-alpha-thujene,1.59375,6.010125,0.18359375,0.5136722922325134,,OK
