Protein,Ligand
SLC27A5,Curdione
SLC27A5,Eucalyptol
SLC27A5,"(1s,3e,7e,11s)-1,5,5,8-tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene"
SLC27A5,(-)-Sabinene
SLC27A5,Curcumenone
SLC27A5,"(2S)-3',4'-Methylenedioxy-5,7-dimethoxyflavan"
SLC27A5,Nonan-2-one
SLC27A5,(S)-(+)-2-Heptanol
SLC27A5,Undecan-2-one
SLC27A5,Aerugidiol
SLC27A5,"(3s,4r)-3-isopropenyl-1-isopropyl-4-methyl-4-vinylcyclohexene"
SLC27A5,(-)-Isoledene
SLC27A5,Furanodiene
SLC27A5,Curzerenone
SLC27A5,(+)-alpha-thujene
ENO1,Curdione
ENO1,Eucalyptol
ENO1,"(1s,3e,7e,11s)-1,5,5,8-tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene"
ENO1,(-)-Sabinene
ENO1,Curcumenone
ENO1,"(2S)-3',4'-Methylenedioxy-5,7-dimethoxyflavan"
ENO1,Nonan-2-one
ENO1,(S)-(+)-2-Heptanol
ENO1,Undecan-2-one
ENO1,Aerugidiol
ENO1,"(3s,4r)-3-isopropenyl-1-isopropyl-4-methyl-4-vinylcyclohexene"
ENO1,(-)-Isoledene
ENO1,Furanodiene
ENO1,Curzerenone
ENO1,(+)-alpha-thujene
