"Gene","HCC_logFC","HCC_adjP","HCC_direction"
"AADAC",-0.786722323232294,5.84317893221455e-14,"Down"
"ABCB6",-0.172147575757565,1.28297720176565e-10,"Down"
"ABCC1",0.368636464646477,6.30392199524731e-06,"Up"
"ABCC5",0.572875656565671,1.66899703024671e-21,"Up"
"ACACA",1.0274570707071,4.03017850814002e-44,"Up"
"ACADM",-0.836887171717152,2.07520170424599e-29,"Down"
"ACADSB",-1.4679223232323,1.53500588484281e-48,"Down"
"ACO1",-0.84440757575755,2.04297659764665e-26,"Down"
"ACOT7",0.519370000000014,3.5610639267665e-18,"Up"
"ACSF2",-0.354950101010084,3.69771234656269e-07,"Down"
"ACSL1",-1.90031979797977,4.54240730239293e-50,"Down"
"ACSL3",1.10050969696971,4.42797289250757e-37,"Up"
"ACSL4",3.29853484848487,1.68432107571291e-79,"Up"
"ACTL6A",1.31175535353537,2.95752053974474e-60,"Up"
"ACVR1B",-0.144124444444434,1.69645110421529e-13,"Down"
"ADAM23",0.218236767676776,5.96572590643747e-05,"Up"
"ADAMTS13",-0.202873636363628,9.33717343670635e-10,"Down"
"ADGRF5",0.247367171717194,0.000497215416271447,"Up"
"ADIPOQ",-0.121535858585851,3.22537176655861e-08,"Down"
"ADIPOR1",0.521743838383868,1.03147480273196e-18,"Up"
"ADORA1",-0.102386060606051,5.60439355832982e-05,"Down"
"ADORA2B",0.111513636363648,0.00909369817409186,"Up"
"AEBP1",-0.959392828282819,3.55681224347822e-18,"Down"
"AGER",-0.126619090909077,1.92946713904113e-08,"Down"
"AGPAT3",-0.151457272727258,0.000152856081922603,"Down"
"AGPS",0.714648686868703,7.68528727636231e-32,"Up"
"AGTR2",-0.052244848484841,0.0146135335816099,"Down"
"AHCY",0.169005050505074,0.0226769939010022,"Up"
"AIM2",-0.177832828282821,0.000549316348671755,"Down"
"AKR1C1",-0.43943909090908,0.00265954834900991,"Down"
"AKR1C2",0.20738505050509,0.0400057973557967,"Up"
"AKR1C3",1.7769156565657,5.06578143866576e-73,"Up"
"AKT1",-0.377088787878773,8.23128052445392e-16,"Down"
"ALB",-1.76154808080806,1.72368371708329e-40,"Down"
"ALDH2",-1.4977336363636,9.10203628434182e-68,"Down"
"ALDH3A2",-0.618634949494911,3.5884166320782e-18,"Down"
"ALG3",0.683128181818192,6.45755927313142e-42,"Up"
"ALOX12",-0.0553828282828159,0.00153791930092302,"Down"
"ALOX12B",-0.0693985858585799,0.0275167116033173,"Down"
"ALOX15",-0.0867230303030255,0.0196141212089037,"Down"
"ALOX5",-0.247251111111101,1.68687183119731e-17,"Down"
"ALOXE3",-0.119082828282815,2.46200662761813e-05,"Down"
"AMBRA1",0.157898383838398,8.11018798572728e-07,"Up"
"AMFR",-0.535646565656551,1.02087884426089e-21,"Down"
"AMN",-0.187084747474733,2.51847976906644e-11,"Down"
"ANGPTL4",-1.235652020202,1.35568613806391e-26,"Down"
"ANGPTL7",-0.0726616161616023,0.0324642624426591,"Down"
"ANO1",-1.60512010101009,2.06058919169742e-29,"Down"
"ANXA10",-2.48629686868685,4.72046710867926e-75,"Down"
"AOC1",-0.0877462626262564,0.0276046142260841,"Down"
"APOC1",-0.539259999999995,8.64234763165112e-32,"Down"
"APOE",-0.248121212121196,1.16563893784614e-11,"Down"
"APOL3",-0.342370606060592,0.000230478200515919,"Down"
"APP",-0.273216363636342,6.90503218074436e-16,"Down"
"AQP3",-0.682797979797963,6.40912131998698e-32,"Down"
"AQP4",-0.0795202020201935,0.000152387564612846,"Down"
"AQP5",-0.129689090909078,4.70305746042003e-06,"Down"
"AQP8",0.0817127272727372,0.0307762156361782,"Up"
"AR",-1.18629323232322,2.97357338857281e-67,"Down"
"ARF6",0.440667676767694,2.16623469359289e-15,"Up"
"ARG2",0.702707474747486,1.54814188696146e-14,"Up"
"ARPC1A",0.941825151515175,3.37189199139726e-41,"Up"
"ASAP2",0.715797474747489,2.79585935952727e-18,"Up"
"ASCL1",-0.136261616161607,4.00525872611643e-05,"Down"
"ASL",-1.2960728282828,3.3591878948533e-42,"Down"
"ASMTL-AS1",-0.104618080808069,9.28954911173863e-07,"Down"
"ASNS",1.30792343434345,2.05835585724987e-28,"Up"
"ASS1",-1.94067747474744,3.00924366889451e-81,"Down"
"ATF2",0.775064242424258,1.58164817529169e-53,"Up"
"ATF3",-0.869753939393919,1.22027982123924e-12,"Down"
"ATF4",0.168282727272757,0.00028890091856614,"Up"
"ATF6",0.294348383838402,1.22599878309332e-09,"Up"
"ATG13",0.453972222222236,4.40499790729638e-24,"Up"
"ATG16L1",-0.177171414141402,3.58181062000427e-08,"Down"
"ATG3",0.670380606060632,4.74790652806321e-29,"Up"
"ATG5",0.274429696969706,1.20314000416442e-07,"Up"
"ATG7",0.331889595959608,5.8791591545383e-18,"Up"
"ATM",0.106104141414153,0.0151290880901991,"Up"
"ATP2B3",-0.123575252525246,3.48227047942198e-07,"Down"
"ATP5MC3",0.28070909090912,1.79969567810834e-07,"Up"
"ATP6V1G2",-0.049553131313119,0.0255466948867645,"Down"
"ATXN8OS",-0.165011414141401,3.73663681419893e-07,"Down"
"AURKA",2.27459212121215,1.6648772686135e-93,"Up"
"AXL",-0.946617474747462,1.63529084571758e-32,"Down"
"BACH1",0.447305959595977,3.87269086936255e-18,"Up"
"BAP1",0.246915454545473,7.90701806397974e-14,"Up"
"BAX",0.352458080808096,1.77757367455268e-13,"Up"
"BCAT1",-0.0530737373737296,0.0491580847923044,"Down"
"BCAT2",0.52674575757577,7.48270799499306e-17,"Up"
"BCL2",-0.115250808080796,3.34741322457304e-05,"Down"
"BECN1",0.667038787878818,4.20438547276723e-32,"Up"
"BEX1",0.436881818181829,0.00952257288880295,"Up"
"BGN",-1.56689858585857,2.84293443683689e-54,"Down"
"BHLHE40",-0.567994848484823,1.53381742514018e-10,"Down"
"BID",0.658781515151537,2.503830281646e-22,"Up"
"BMP4",0.30692707070709,2.63627325499656e-05,"Up"
"BNC1",-0.131990606060598,7.47786772273089e-10,"Down"
"BNIP3",-0.287960101010064,2.8708859663178e-06,"Down"
"BRCA1",0.531085353535365,5.00765050176418e-22,"Up"
"BRD2",-0.187991313131283,0.00356051711346625,"Down"
"BRD3",0.380592020202044,2.33626712973541e-12,"Up"
"BRD7",0.52353000000002,4.2567315901977e-16,"Up"
"BRPF1",0.107691717171735,0.000625933132871299,"Up"
"BSG",0.810238888888916,2.41382197378949e-28,"Up"
"BTK",-0.20909898989898,8.55410387088821e-14,"Down"
"CA9",0.177637070707084,0.0174642376557696,"Up"
"CAD",0.63126878787881,1.68491507106095e-33,"Up"
