"Drug","High_Mean","Low_Mean","Diff","P_value","FDR"
"Paclitaxel_1080",-3.12229690582514,-2.4792724306061,-0.643024475219039,1.22031196736578e-09,1.49773312827765e-08
"Docetaxel_1819",-2.25081379840301,-1.71636194791181,-0.534451850491201,2.68529730532397e-05,0.000121871185395472
"MK-1775_1179",0.237900659451996,0.770859726119174,-0.532959066667178,1.89009702537874e-10,5.57578622486728e-09
"Docetaxel_1007",-4.6858610087386,-4.17888493223133,-0.506976076507265,9.01469045714636e-10,1.49773312827765e-08
"AZD7762_1022",-0.144876007986987,0.261378275093855,-0.406254283080841,1.42530361439222e-06,9.34365702768232e-06
"Trametinib_1372",0.259688517046886,0.661050589238877,-0.401362072191991,0.000544184926027325,0.00188864180209483
"AZD6738_1917",1.91502879083488,2.31412407835377,-0.399095287518889,6.45329434772609e-07,5.43920523594056e-06
"Cisplatin_1005",3.17785411487036,3.54536880095,-0.367514686079642,3.84542274581138e-05,0.000162057101430622
"Vincristine_1818",-1.70393231273501,-1.37161628963115,-0.332316023103866,0.0019331203290796,0.00599286574576874
"BMS-536924_1091",2.01506121692589,2.22607092697611,-0.21100971005022,4.95124254872074e-06,2.65566645795022e-05
"AZD4547_1786",2.7221825025047,2.91666550591243,-0.194483003407725,2.16615116467198e-06,1.27802918715647e-05
"Olaparib_1017",4.26677074792039,4.45406599707832,-0.187295249157931,0.000256392220045912,0.0009454463114193
"AZD5582_1617",1.93489572752411,2.11541709357526,-0.180521366051149,0.0123960425711076,0.0281294812190518
"BPD-00008900_1998",4.42867728256605,4.60351004475451,-0.17483276218846,9.41982234515789e-06,4.63141265303596e-05
"Lapatinib_1558",2.9853600224128,3.15584717184535,-0.170487149432546,0.00629300340903959,0.0148514880453334
"Dabrafenib_1373",4.38717289275411,4.53922712902179,-0.152054236267678,0.0175764598663796,0.0370361118612999
"Ibrutinib_1799",4.33745903853826,4.48843651294943,-0.150977474411168,0.0031681685421502,0.00794906726551478
"Bortezomib_1191",-4.87530881242544,-4.74066236241249,-0.13464645001295,0.00256000335971626,0.00686546355560271
"Afatinib_1032",1.76069438731436,1.89297407457102,-0.132279687256659,0.0160363766176559,0.0350424526089518
